Cluster,kmer_2,kmer_4,kmer_6,kmer_8
long.range,1960,1960,1960,1960
mid.range,398.686200420028,486.456915276559,432.698058891882,449.74441535122
short.range,56.5557444215519,39.5935268590396,31.7391026911247,31.340557542275
