Species,Class,Blood
Idiacanthus,Fish,Cold
Latimeria,Fish,Cold
Lampetra,Fish,Cold
Lophius,Fish,Cold
Lophius,Fish,Cold
Myoxocephalus,Fish,Cold
Notacanthus,Fish,Cold
Petromyzon,Fish,Cold
Anarhichas,Fish,Cold
Cyclopterus,Fish,Cold
Leptagonus,Fish,Cold
Myoxocephalus,Fish,Cold
Notothenia,Fish,Cold
Anarhichas,Fish,Cold
Malacosteus,Fish,Cold
Chauliodus,Fish,Cold
Gonostoma,Fish,Cold
Carcharhinus,Fish,Cold
Carcharhinus,Fish,Cold
Centrophorus,Fish,Cold
Blackbelly,Fish,Cold
Ginglymostoma,Fish,Cold
Galeocerdo,Fish,Cold
Heterodontus,Fish,Cold
Prionace,Fish,Cold
Squaliolus,Fish,Cold
Rhizoprionodon,Fish,Cold
Pyhllodactylus gerrophygus,Reptilian,Cold
Hemidactylus mabouia,Reptilian,Cold
Phelsuma cepediana,Reptilian,Cold
Tarentola mauritanica,Reptilian,Cold
Gekko gecko,Reptilian,Cold
Chalcides mionecton,Reptilian,Cold
Chalcides polylepis,Reptilian,Cold
Chalcides chalcides,Reptilian,Cold
Chalcides ocellatus,Reptilian,Cold
Scincus scincus,Reptilian,Cold
Eumeces schneideri,Reptilian,Cold
Psammodromus hispanicus,Reptilian,Cold
Zootoca vivipara,Reptilian,Cold
Lacerta muralis,Reptilian,Cold
Psammodromus algirus,Reptilian,Cold
Lacerta viridis,Reptilian,Cold
Lacerta lepida,Reptilian,Cold
Cordylus cordylus,Reptilian,Cold
Zonosaurus quadrilineatus,Reptilian,Cold
Zonosaurus maximus,Reptilian,Cold
Anguis fragilis,Reptilian,Cold
Ophisaurus apodus,Reptilian,Cold
Chalarodon madagascariensis,Reptilian,Cold
Anolis carolinensis,Reptilian,Cold
Anolis auratus,Reptilian,Cold
Liolaemus chiliensis,Reptilian,Cold
Oplurus sebae,Reptilian,Cold
Iguana iguana,Reptilian,Cold
Amblyrhynchus cristatus,Reptilian,Cold
Calotes cristatellus,Reptilian,Cold
Draco volans,Reptilian,Cold
Agama inermis,Reptilian,Cold
Calotes versicolor,Reptilian,Cold
Agama agama,Reptilian,Cold
Acanthosaura armata,Reptilian,Cold
Uromastix acanthinurus,Reptilian,Cold
Chamaeleo lateralis,Reptilian,Cold
Ameiva sp.,Reptilian,Cold
Callopistes trimaculatus,Reptilian,Cold
Tupinambis nigropunctatus,Reptilian,Cold
Varanus griseus,Reptilian,Cold
Heloderma suspectum,Reptilian,Cold
Sphenodon punctatus,Reptilian,Cold
Boa constrictor,Reptilian,Cold
Python molurus,Reptilian,Cold
Natrix natrix,Reptilian,Cold
Thamnophis sirtalis,Reptilian,Cold
Natrix maura,Reptilian,Cold
Coronella girondica,Reptilian,Cold
Elaphe longissima,Reptilian,Cold
Coluber viridiflavus,Reptilian,Cold
Coluber  constrictor,Reptilian,Cold
Zamenis viridus flavus,Reptilian,Cold
Naja melanoleuca,Reptilian,Cold
Vipera aspis,Reptilian,Cold
Cerastes vipera,Reptilian,Cold
Vipera berus,Reptilian,Cold
Agkistrodon piscivorous,Reptilian,Cold
Trogonophis wiegmanni,Reptilian,Cold
Chelydra serpentina,Reptilian,Cold
Macroclemys temminckii,Reptilian,Cold
Emys orbicularis,Reptilian,Cold
Pseudemys scripta,Reptilian,Cold
Clemmys guttata,Reptilian,Cold
Testudo graeca,Reptilian,Cold
Testudo hermanni,Reptilian,Cold
Chelonia mydas,Reptilian,Cold
Caretta caretta,Reptilian,Cold
Trionyx ferox,Reptilian,Cold
Alligator mississippiensis,Reptilian,Cold
Crocodylus acutus,Reptilian,Cold
salamandra terrestris,Amphibian,Cold
Salamandra atra,Amphibian,Cold
Triturus alpestris,Amphibian,Cold
Onychodactylus japonicus,Amphibian,Cold
Hydromantes italicus,Amphibian,Cold
Batrachoseps attenuatus,Amphibian,Cold
Hyla versicolor,Amphibian,Cold
Pseudacris triseriata,Amphibian,Cold
Acris crepitans,Amphibian,Cold
Agalychnis annae,Amphibian,Cold
Agalychnis callidryas,Amphibian,Cold
Phyllomeduda bicolor,Amphibian,Cold
Phyllomeduda sauvagii,Amphibian,Cold
Hyla arborea,Amphibian,Cold
Hyla cinerea,Amphibian,Cold
Hyla lineomaculata,Amphibian,Cold
Hyla meridionalis,Amphibian,Cold
Hyla pseudopuma,Amphibian,Cold
Hyla raniceps,Amphibian,Cold
Hyla rubra,Amphibian,Cold
Hyla arborea savignyi,Amphibian,Cold
Hyla uranochroa,Amphibian,Cold
Phrynohyas venulosa,Amphibian,Cold
Smilisca phaeota,Amphibian,Cold
Smilisca sordida,Amphibian,Cold
Platymantis vitiensis,Amphibian,Cold
Rana sylvatica,Amphibian,Cold
Rana pipiens,Amphibian,Cold
Rana clamitans,Amphibian,Cold
Rana catesbeiana,Amphibian,Cold
Rana esculenta,Amphibian,Cold
Rana mascareniensis,Amphibian,Cold
Rana palmipes,Amphibian,Cold
Rana ridibunda,Amphibian,Cold
Rana temporaria,Amphibian,Cold
Phrynobatrachus calcaratus,Amphibian,Cold
Chiromantis xerampelina,Amphibian,Cold
Xenopis laevis,Amphibian,Cold
Rhinophrynus dorsalis,Amphibian,Cold
Hemisus guineensis,Amphibian,Cold
Alytes cisternasii,Amphibian,Cold
Alytes obstetricans,Amphibian,Cold
Bombina orientalis,Amphibian,Cold
Bombina variegata,Amphibian,Cold
Discoglossus pictus,Amphibian,Cold
Pelobates cultripes,Amphibian,Cold
Pelobates syriacus,Amphibian,Cold
Pelodytes punctatus,Amphibian,Cold
Adelotus brevis ,Amphibian,Cold
Mixophyes fasciolatus,Amphibian,Cold
Uperoleia marmorata,Amphibian,Cold
Leptodactylus occelatus,Amphibian,Cold
Leptodactylus pentadactylus,Amphibian,Cold
Leptodactylus wagneri,Amphibian,Cold
Dendrobates histrionicus,Amphibian,Cold
Dendrobates pumilio,Amphibian,Cold
Dendrobates speciosus,Amphibian,Cold
Phyllobates lugubris,Amphibian,Cold
Atelopus chiriquiensis,Amphibian,Cold
Atelopus flavescens,Amphibian,Cold
Atelopus varius,Amphibian,Cold
Bufo bufo,Amphibian,Cold
Bufo calamita,Amphibian,Cold
Bufo marinus,Amphibian,Cold
Bufo regularis Afrique,Amphibian,Cold
Bufo regularis Reunion,Amphibian,Cold
Bufo spinulosus,Amphibian,Cold
Bufo typhonius,Amphibian,Cold
Bufo viridis arabicus,Amphibian,Cold
Bufo woodhousei,Amphibian,Cold
Nectophrynoides occidentalis,Amphibian,Cold
Pseudis paradoxus,Amphibian,Cold
Centrolenella fleischmanni,Amphibian,Cold
Litoria bicolor,Amphibian,Cold
Litoria caerulea,Amphibian,Cold
Litoria lesuerii,Amphibian,Cold
Litoria peronii,Amphibian,Cold
Pseudohemisus pustulosus,Amphibian,Cold
Breviceps gibbosus,Amphibian,Cold
Phrynomerus bifasciatus,Amphibian,Cold
Arthroleptis nimbaensis,Amphibian,Cold
Afrixalus dorsalis,Amphibian,Cold
Afrixalus fulvovittatus,Amphibian,Cold
Hyperolius concolor,Amphibian,Cold
Kassina senegalensis,Amphibian,Cold
Kassina wealii,Amphibian,Cold
